booking_id,created_date,date_of_service,customer_name,city,phone,email,package_name
B062,2024-06-25,2024-07-08,Client JJJ,Bulawayo,,client.jjj@email.com,Premium Package
B063,2024-06-28,2024-07-10,Client KKK,Harare,,client.kkk@email.com,Standard Service
B064,2024-06-30,2024-07-12,Client LLL,Mutare,,client.lll@email.com,Deluxe Package
B065,2024-07-02,2024-07-15,Client MMM,Gweru,,client.mmm@email.com,Basic Cleaning
B066,2024-07-05,2024-07-18,Client NNN,Harare,,client.nnn@email.com,Standard Service
B067,2024-07-08,2024-07-20,Client OOO,Bulawayo,,client.ooo@email.com,Premium Package
B068,2024-07-10,2024-07-22,Client PPP,Harare,,client.ppp@email.com,Basic Cleaning
B069,2024-07-12,2024-07-25,Client QQQ,Mutare,,client.qqq@email.com,Deluxe Package
B070,2024-07-15,2024-07-28,Client RRR,Gweru,,client.rrr@email.com,Standard Service
B071,2024-07-18,2024-07-30,Client SSS,Harare,,client.sss@email.com,Basic Cleaning
B072,2024-07-20,2024-08-02,Client TTT,Bulawayo,,client.ttt@email.com,Premium Package
B073,2024-07-22,2024-08-05,Client UUU,Harare,,client.uuu@email.com,Standard Service
B074,2024-07-25,2024-08-08,Client VVV,Mutare,,client.vvv@email.com,Deluxe Package
B075,2024-07-28,2024-08-10,Client WWW,Gweru,,client.www@email.com,Basic Cleaning
B076,2024-07-30,2024-08-12,Client XXX,Harare,,client.xxx@email.com,Standard Service
B077,2024-08-02,2024-08-15,Client YYY,Bulawayo,,client.yyy@email.com,Premium Package
B078,2024-08-05,2024-08-18,Client ZZZ,Harare,,client.zzz@email.com,Basic Cleaning
B079,2024-08-08,2024-08-20,Client AAAA,Mutare,,client.aaaa@email.com,Deluxe Package
B080,2024-08-10,2024-08-22,Client BBBB,Gweru,,client.bbbb@email.com,Standard Service
B081,2024-08-12,2024-08-25,Client CCCC,Harare,,client.cccc@email.com,Basic Cleaning
B082,2024-08-15,2024-08-28,Client DDDD,Bulawayo,,client.dddd@email.com,Premium Package
B083,2024-08-18,2024-08-30,Client EEEE,Harare,,client.eeee@email.com,Standard Service
B084,2024-08-20,2024-09-02,Client FFFF,Mutare,,client.ffff@email.com,Deluxe Package
B085,2024-08-22,2024-09-05,Client GGGG,Gweru,,client.gggg@email.com,Basic Cleaning
B086,2024-08-25,2024-09-08,Client HHHH,Harare,,client.hhhh@email.com,Standard Service
B087,2024-08-28,2024-09-10,Client IIII,Bulawayo,,client.iiii@email.com,Premium Package
B088,2024-08-30,2024-09-12,Client JJJJ,Harare,,client.jjjj@email.com,Basic Cleaning
B089,2024-09-02,2024-09-15,Client KKKK,Mutare,,client.kkkk@email.com,Deluxe Package
B090,2024-09-05,2024-09-18,Client LLLL,Gweru,,client.llll@email.com,Standard Service
B091,2024-09-08,2024-09-20,Client MMMM,Harare,,client.mmmm@email.com,Basic Cleaning
B092,2024-09-10,2024-09-22,Client NNNN,Bulawayo,,client.nnnn@email.com,Premium Package
B093,2024-09-12,2024-09-25,Client OOOO,Harare,,client.oooo@email.com,Standard Service
B094,2024-09-15,2024-09-28,Client PPPP,Mutare,,client.pppp@email.com,Deluxe Package
B095,2024-09-18,2024-09-30,Client QQQQ,Gweru,,client.qqqq@email.com,Basic Cleaning
B096,2024-09-20,2024-10-02,Client RRRR,Harare,,client.rrrr@email.com,Standard Service
B097,2024-09-22,2024-10-05,Client SSSS,Bulawayo,,client.ssss@email.com,Premium Package
B098,2024-09-25,2024-10-08,Client TTTT,Harare,,client.tttt@email.com,Basic Cleaning
B099,2024-09-28,2024-10-10,Client UUUU,Mutare,,client.uuuu@email.com,Deluxe Package
B100,2024-09-30,2024-10-12,Client VVVV,Gweru,,client.vvvv@email.com,Standard Service
